supplier_id,business_name,registration_number,status,registration_date,business_type,industry_category,state,verification_status,verification_reason
BUS0000001,Sunbeam Electricals,RC856259,registered,2019-09-02,Non-Profit Organization,Consulting,Delta,VERIFIED,Business passed basic verification
BUS0000002,Bright Learning Institute,RC401806,registered,,Limited Liability Company,Facility Management,Gombe,REJECTED,Missing or invalid registration date
BUS0000003,Sunbeam Electricals,RC742053,registered,2016-07-04,Partnership,Waste Management,Benue,VERIFIED,Business passed basic verification
BUS0000004,Vertex Global Services,RC901757,registered,2025-03-08,Non-Profit Organization,Microfinance,Kogi,FLAGGED,Recently registered business
BUS0000005,Evergreen Agro,RC907347,registered,,Sole Proprietorship,Agriculture,Ogun,REJECTED,Missing or invalid registration date
BUS0000006,Alpha Systems Ltd,RC561235,registered,,Enterprise,Hospitality,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000007,BrightWave Technologies,RC729281,registered,,Sole Proprietorship,Facility Management,Taraba,REJECTED,Missing or invalid registration date
BUS0000008,Alpha Systems Ltd,RC297048,registered,,Partnership,Entertainment,Yobe,REJECTED,Missing or invalid registration date
BUS0000009,BrightWave Technologies,RC880926,registered,2015-02-06,Limited Liability Company,Entertainment,Jigawa,VERIFIED,Business passed basic verification
BUS0000010,Elite Cleaning Co,RC300641,registered,2018-06-05,Enterprise,Hospitality,Benue,VERIFIED,Business passed basic verification
BUS0000011,Prime Health Supplies,RC240365,registered,,Non-Profit Organization,Agriculture,Zamfara,REJECTED,Missing or invalid registration date
BUS0000012,Orchid Pharmaceuticals,RC208277,registered,,Cooperative Society,Beverages,Plateau,REJECTED,Missing or invalid registration date
BUS0000013,Urban Farm Produce,RC394538,registered,2017-09-08,Limited Liability Company,Consulting,Bauchi,VERIFIED,Business passed basic verification
BUS0000014,EcoTech Solutions Ltd,RC999988,registered,,Limited Liability Company,Food Processing,Katsina,REJECTED,Missing or invalid registration date
BUS0000015,Evergreen Agro,RC205304,registered,2018-03-09,Enterprise,Telecommunications,Benue,VERIFIED,Business passed basic verification
BUS0000016,Olive Oil Processing,RC203254,registered,,Limited Liability Company,Textiles,Katsina,REJECTED,Missing or invalid registration date
BUS0000017,Nova Industrial Works,RC236849,registered,2020-12-07,Partnership,Fintech,Rivers,VERIFIED,Business passed basic verification
BUS0000018,BlueOcean Logistics,RC716834,registered,,Partnership,Trading,Yobe,REJECTED,Missing or invalid registration date
BUS0000019,Elite Cleaning Co,RC980290,registered,2017-12-05,Sole Proprietorship,Transportation,Ondo,VERIFIED,Business passed basic verification
BUS0000020,Vertex Global Services,RC557596,registered,,Sole Proprietorship,Fintech,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000021,Vertex Global Services,RC857248,registered,,Public Limited Company,Legal Services,Edo,REJECTED,Missing or invalid registration date
BUS0000022,Sunbeam Electricals,RC550057,registered,,Partnership,Security Services,Cross River,REJECTED,Missing or invalid registration date
BUS0000023,Orchid Pharmaceuticals,RC884296,registered,,Non-Profit Organization,EdTech,Yobe,REJECTED,Missing or invalid registration date
BUS0000024,Lakeside Traders,RC898911,registered,,Enterprise,Fashion,Adamawa,REJECTED,Missing or invalid registration date
BUS0000025,Nova Industrial Works,RC107892,registered,,Non-Profit Organization,EdTech,Ekiti,REJECTED,Missing or invalid registration date
BUS0000026,Orchid Pharmaceuticals,RC902101,registered,2022-12-09,Limited Liability Company,Information Technology,Ekiti,VERIFIED,Business passed basic verification
BUS0000027,SkyHigh Enterprises,RC146746,registered,2015-12-02,Business Name,Pharmaceuticals,Borno,VERIFIED,Business passed basic verification
